Information listing created by	joaol
Date	06-Dec-2023 23:43:36
Current work part	C:\Users\joaol\OneDrive - Universidade de Lisboa\Ambiente de Trabalho\Ficheiros NX\Malha simétrica\Malha base Q4 eixo\Modelo\model1base_fem1.fem
Node name	DESKTOP-FSDCSN1


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh           | Mesh Collector | Connected Nodes
  187                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 419 991 992 420 713 1002 715 716
  188                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 420 992 1077 948 715 1003 974 717
  189                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 420 948 949 421 717 975 718 719
  190                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 421 949 950 422 718 976 720 721
  191                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 422 950 951 423 720 977 722 723
  192                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 423 951 952 424 722 978 724 725
  193                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 424 952 953 425 724 979 726 727
  194                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 425 953 954 426 726 980 728 729
  195                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 426 954 955 427 728 981 730 731
  196                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 427 955 956 336 730 982 613 732
  197                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 427 336 335 428 732 610 733 734
  198                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 428 335 334 429 733 607 735 736
  199                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 429 334 333 430 735 604 737 738
  200                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 430 333 332 431 737 601 739 740
  201                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 431 332 331 432 739 598 741 742
  202                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 432 331 330 389 741 595 650 743
  203                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 433 432 389 390 744 743 653 745
  204                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 433 390 391 434 745 655 746 747
  205                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 434 391 392 435 746 657 748 749
  206                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 435 392 393 436 748 659 750 751
  207                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 436 393 394 437 750 661 752 753
  208                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 437 394 395 438 752 663 754 755
  209                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 438 395 396 439 754 665 756 757
  210                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 439 396 397 440 756 667 758 759
  211                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 440 397 398 399 758 669 672 760
  212                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 440 399 400 401 760 674 677 761
  213                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 440 401 402 441 761 679 762 763
  214                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 441 402 403 442 762 681 764 765
  215                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 442 403 404 443 764 683 766 767
  216                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 443 404 405 444 766 685 768 769
  217                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 444 405 406 445 768 687 770 771
  218                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 445 406 407 446 770 689 772 773
  219                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 446 407 408 447 772 691 774 775
  220                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 447 408 409 448 774 693 776 777
  221                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 448 409 410 449 776 695 778 779
  222                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 449 410 411 412 778 697 700 780
  223                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 449 412 413 450 780 702 781 782
  224                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 450 413 414 451 781 704 783 784
  225                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 451 414 415 452 783 706 785 786
  226                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 452 415 416 453 785 708 787 788
  227                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 453 416 417 454 787 710 789 790
  228                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 454 417 418 455 789 712 791 792
  229                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 455 418 419 456 791 714 793 794
  230                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 456 419 420 421 793 716 719 795
  231                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 456 421 422 457 795 721 796 797
  232                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 457 422 423 458 796 723 798 799
  233                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 458 423 424 459 798 725 800 801
  234                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 459 424 425 460 800 727 802 803
  235                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 460 425 426 461 802 729 804 805
  236                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 461 426 427 462 804 731 806 807
  237                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 462 427 428 463 806 734 808 809
  238                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 463 428 429 464 808 736 810 811
  239                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 464 429 430 465 810 738 812 813
  240                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 465 430 431 466 812 740 814 815
  241                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 466 431 432 433 814 742 744 816
  242                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 467 466 433 434 817 816 747 818
  243                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 467 434 435 468 818 749 819 820
  244                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 468 435 436 469 819 751 821 822
  245                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 469 436 437 470 821 753 823 824
  246                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 470 437 438 471 823 755 825 826
  247                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 471 438 439 472 825 757 827 828
  248                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 472 439 440 441 827 759 763 829
  249                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 472 441 442 473 829 765 830 831
  250                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 473 442 443 474 830 767 832 833
  251                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 474 443 444 475 832 769 834 835
  252                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 475 444 445 476 834 771 836 837
  253                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 476 445 446 477 836 773 838 839
  254                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 477 446 447 478 838 775 840 841
  255                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 478 447 448 479 840 777 842 843
  256                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 479 448 449 450 842 779 782 844
  257                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 479 450 451 480 844 784 845 846
  258                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 480 451 452 481 845 786 847 848
  259                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 481 452 453 482 847 788 849 850
  260                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 482 453 454 483 849 790 851 852
  261                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 483 454 455 484 851 792 853 854
  262                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 484 455 456 457 853 794 797 855
  263                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 484 457 458 485 855 799 856 857
  264                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 485 458 459 486 856 801 858 859
  265                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 486 459 460 487 858 803 860 861
  266                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 487 460 461 488 860 805 862 863
  267                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 488 461 462 489 862 807 864 865
