Information listing created by	Afonso Araújo
Date	07-Dec-2023 00:41:54
Current work part	C:\Users\Afonso\Documents\MATLAB\MComp\Projeto MComp\comsimetria_fem1.fem
Node name	DESKTOP-5AECOVI


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh           | Mesh Collector | Connected Nodes
  207                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 182 183 844 845 628 626 854 619
  208                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 191 190 121 120 629 630 602 631
  209                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 191 120 119 169 631 583 632 633
  210                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 173 822 823 184 634 837 635 636
  211                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 173 184 185 172 636 637 638 639
  212                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 192 189 190 191 640 641 629 642
  213                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 192 191 169 170 642 633 643 644
  214                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 171 172 185 186 645 638 646 647
  215                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 193 188 189 192 648 649 640 650
  216                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 171 186 187 194 647 651 652 653
  217                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 187 188 193 194 654 648 655 652
  218                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 200 122 121 190 656 604 630 657
  219                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 189 188 195 199 649 658 659 660
  220                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 189 199 200 190 660 661 657 641
  221                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 202 123 122 200 662 589 656 663
  222                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 199 195 196 201 659 664 665 666
  223                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 199 201 202 200 666 667 663 661
  224                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 198 175 174 203 668 618 669 670
  225                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 204 201 196 197 671 665 672 673
  226                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 204 197 198 203 673 674 670 675
  227                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 203 174 931 932 669 615 944 676
  228                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 205 203 932 933 677 676 945 678
  229                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 934 123 202 206 591 662 679 680
  230                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 934 206 205 933 680 681 678 946
  231                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 209 824 825 178 682 838 624 683
  232                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 209 178 177 207 683 627 684 685
  233                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 210 184 823 824 686 635 839 687
  234                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 211 209 207 208 688 685 689 690
  235                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 211 208 186 185 690 691 646 692
  236                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 214 213 196 195 693 694 664 695
  237                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 214 195 188 187 695 658 654 696
  238                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 186 208 212 215 691 697 698 699
  239                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 212 213 214 215 700 693 701 698
  240                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 186 215 214 187 699 701 696 651
  241                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 217 207 177 176 702 684 621 703
  242                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 198 197 216 218 674 704 705 706
  243                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 216 217 176 218 707 703 708 705
  244                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 198 218 176 175 706 708 608 668
  245                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 216 197 196 213 704 672 694 709
